Method,Run,Iteration,RMSE,Fitness,Time_ms,Trans_Error_m,Rot_Error_deg,P2P_RMSE,Chamfer_Distance,dx_wx,dx_wy,dx_wz,dx_x,dx_y,dx_z,grad_wx,grad_wy,grad_wz,grad_x,grad_y,grad_z,objective_value,T_00,T_01,T_02,T_03,T_10,T_11,T_12,T_13,T_20,T_21,T_22,T_23,T_30,T_31,T_32,T_33,Cond_Schur_Rot,Cond_Schur_Trans,Cond_Sub_Rot,Cond_Sub_Trans,Cond_Full_SVD,Degenerate_0,Degenerate_1,Degenerate_2,Degenerate_3,Degenerate_4,Degenerate_5,Is_Degenerate
ME-SR,0,18,0.19671633,0.05778894,0.58409900,3.62596231,0.96192754,0.02196058,0.92277475,0.00018595,0.00019922,-0.00147922,-0.00000936,0.00000809,0.00001916,-2.51694105,-3.82887025,1.66881660,0.95959621,4.12671444,-0.29902929,2.74624748,0.99946816,-0.02958556,-0.01371442,0.19936017,0.02879861,0.99810349,-0.05440638,0.79692784,0.01529805,0.05398248,0.99842469,0.50046591,0.00000000,0.00000000,0.00000000,1.00000000,4.96086639,29.15235084,15.56972344,39.90293972,18215.86844869,1,1,1,0,0,0,1
ME-SR,0,19,0.19757888,0.05845015,0.53224400,3.65885397,0.96191794,0.02203745,0.92286177,-0.00019096,-0.00016504,0.00148310,0.00001929,-0.00000926,-0.00001346,3.26552718,3.01790525,-1.26244257,1.58395028,3.87742948,-0.34128070,2.79407542,0.99942091,-0.03106520,-0.01388516,0.19937991,0.03026991,0.99807006,-0.05422065,0.79691989,0.01554274,0.05376895,0.99843243,0.50045227,0.00000000,0.00000000,0.00000000,1.00000000,4.90470619,29.07117237,20.59035783,43.93944408,18739.48279627,1,1,1,0,0,0,1
ME-SR,0,20,0.19707085,0.05765670,0.54173400,3.62598972,0.96193100,0.02195946,0.92275806,0.00018851,0.00017044,-0.00147482,-0.00001057,0.00000767,0.00001927,-2.52157325,-3.35678556,1.65923369,0.99088378,4.12798154,-0.30052211,2.74614643,0.99946799,-0.02959380,-0.01370910,0.19936884,0.02880717,0.99810339,-0.05440377,0.79692618,0.01529311,0.05397990,0.99842491,0.50047175,0.00000000,0.00000000,0.00000000,1.00000000,4.93870347,28.88208058,15.54049819,39.54893494,18201.87701165,1,1,1,0,0,0,1
ME-SR,0,21,0.19732990,0.05884687,0.57224500,3.65974924,0.96192009,0.02216608,0.92298648,-0.00017937,-0.00021462,0.00147008,0.00001563,-0.00000996,-0.00001312,3.18986421,3.84264391,-1.25228467,1.66465673,3.88473696,-0.34310534,2.79836517,0.99942044,-0.03106058,-0.01392904,0.19938493,0.03026278,0.99806971,-0.05423107,0.79691740,0.01558660,0.05377811,0.99843126,0.50045836,0.00000000,0.00000000,0.00000000,1.00000000,4.90612893,29.12227049,20.63766511,44.19873049,18777.15500728,1,1,1,0,0,0,1
ME-SR,0,22,0.19700146,0.05765670,0.54371000,3.62790995,0.96193165,0.02209467,0.92305516,0.00021131,0.00014120,-0.00149344,-0.00001362,0.00000662,0.00001955,-2.84431405,-2.88824922,1.66819285,1.01184561,4.14476265,-0.30070939,2.74354742,0.99946767,-0.02957091,-0.01378151,0.19937084,0.02877987,0.99810232,-0.05443782,0.79692253,0.01536514,0.05401221,0.99842205,0.50047802,0.00000000,0.00000000,0.00000000,1.00000000,4.93369698,29.13217537,15.50714234,39.66936203,18134.46202322,1,1,1,0,0,0,1
ME-SR,0,23,0.19697852,0.05871463,0.55258700,3.66228828,0.96192013,0.02240067,0.92340120,-0.00015561,-0.00019260,0.00146282,0.00001718,-0.00001112,-0.00001313,2.79127676,3.41849718,-1.24861316,1.62449393,3.92073753,-0.34135375,2.79985856,0.99942068,-0.03103075,-0.01397872,0.19938852,0.03022942,0.99806762,-0.05428819,0.79691264,0.01563631,0.05383417,0.99842746,0.50046458,0.00000000,0.00000000,0.00000000,1.00000000,4.87677701,29.13050216,20.68234827,44.43389345,18759.34450136,1,1,1,0,0,0,1
ME-SR,0,24,0.19626447,0.05778894,0.53483200,3.62733093,0.96193579,0.02195681,0.92297630,0.00015703,0.00025618,-0.00145560,-0.00000513,0.00000955,0.00001865,-2.12859300,-4.72475302,1.65944724,0.87410211,4.10786569,-0.29739123,2.73833883,0.99946833,-0.02957814,-0.01371792,0.19938284,0.02879054,0.99810204,-0.05443736,0.79692101,0.01530204,0.05401347,0.99842295,0.50048363,0.00000000,0.00000000,0.00000000,1.00000000,4.95603755,29.08019598,15.53170998,39.76259542,18132.18311757,1,1,1,0,0,0,1
ME-SR,0,25,0.19754276,0.05845015,0.56838300,3.65929219,0.96192726,0.02203650,0.92292447,-0.00021315,-0.00016392,0.00148992,0.00001960,-0.00000805,-0.00001354,3.60069953,3.04218016,-1.26345042,1.58442093,3.85734045,-0.34097033,2.79418374,0.99942090,-0.03106429,-0.01388821,0.19940285,0.03026870,0.99806962,-0.05422946,0.79691427,0.01554600,0.05377767,0.99843191,0.50046998,0.00000000,0.00000000,0.00000000,1.00000000,4.91022162,29.08686892,20.60112441,43.98130388,18740.76952535,1,1,1,0,0,0,1
ME-SR,0,26,0.19671277,0.05778894,0.62054400,3.62613286,0.96194065,0.02195988,0.92277923,0.00018222,0.00017199,-0.00147377,-0.00001106,0.00000824,0.00001921,-2.42518603,-3.37424596,1.65960046,0.98939081,4.12231294,-0.30037036,2.74612892,0.99946797,-0.02959385,-0.01371079,0.19939127,0.02880709,0.99810326,-0.05440625,0.79692112,0.01529487,0.05398234,0.99842475,0.50048942,0.00000000,0.00000000,0.00000000,1.00000000,4.96722571,29.17272858,15.56435682,39.94813030,18227.51794048,1,1,1,0,0,0,1
ME-SR,0,27,0.19757776,0.05871463,0.60639700,3.65898960,0.96193100,0.02203867,0.92286818,-0.00019131,-0.00016956,0.00147995,0.00001891,-0.00000926,-0.00001339,3.28064591,3.09514335,-1.25912114,1.58957223,3.87660895,-0.34150953,2.79409389,0.99942074,-0.03107033,-0.01388606,0.19941063,0.03027500,0.99806993,-0.05422032,0.79691316,0.01554390,0.05376851,0.99843244,0.50047584,0.00000000,0.00000000,0.00000000,1.00000000,4.90590810,29.07076007,20.59492465,43.94316871,18738.48623463,1,1,1,0,0,0,1
